Food Name,GI,Food Manufacturer,Product Category,Country,Carbohydrate portion (g) / Average (g),GL,Reference,Subject Type
"Cake, NS, decreased GI variant, sugar-to-flour ratio: 0.80",20,"Bakery School, Herk-de-Stad, Belgium",Bakery Products,Belgium,30.0,6.0,"Vrolix, R. and R.P. Mensink, Variability of the glycemic response to single food products in healthy subjects. Contemporary Clinical Trials, 2010. 31(1): p. 5-11.",Normal
"Carrot cake, prepared with wheat flour and coconut flour",37,,Bakery Products,Philippines,30.0,11.0,"Trinidad, T.P., et al., Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. British Journal of Nutrition, 2003. 90(3): p. 551-556.",Normal
Chocolate cake made from packet mix with chocolate frosting,38,"Betty Crocker, General Mills Inc., Minneapolis, USA",Bakery Products,USA,30.0,11.0,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal
Chocolate mudcake,43,,Bakery Products,Australia,30.0,13.0,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal
Christmas fruit cake,53,,Bakery Products,Australia,30.0,16.0,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal
"Cupcake, strawberry-iced",73,"Squiggles, Farmland, Grocery Holdings, Tooronga, Australia",Bakery Products,Australia,30.0,22.0,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal
"Plumcake, prepared with wheat flour and yogurt",47,"Mulino Bianco, Barilla, Italy",Bakery Products,Italy,30.0,14.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
Pound cake 0%,38,"Bimbo S.A de C.V, Mexico",Bakery Products,Mexico,30.0,11.0,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal
"Raspberry Coffee cake, President's Choice® Blue Menu™",50,"Loblaw Brands Limited, Canada",Bakery Products,Canada,30.0,15.0,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal
"Sponge cake, filled with marmalade and yogurt cream",57,"Yogo brioss, Ferrero, Italy",Bakery Products,Italy,30.0,17.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake with cocoa, milk cream-filled, coated with chocolate",58,"Kinder Délice, Italy",Bakery Products,Italy,30.0,17.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake with cocoa, milk cream-filled, coated with chocolate and coconut pieces (Kinder Délice Cocco)",56,"Ferrero, Italy",Bakery Products,Italy,30.0,17.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake, soft wheat flour, carrots (14%), almonds (7%) (Camille, Mulino Bianco)",51,"Barilla, Italy",Bakery Products,Italy,30.0,15.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake, soft wheat flour, filled with chocolate cream (Kinder Pan e Cioc Cacao)",61,"Ferrero, Italy",Bakery Products,Italy,30.0,18.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake, soft wheat flour, ground cereals (rice, barley, rye, oat, wheat) and cocoa, filled with barley malt cream (Kinder colazione più)",66,"Ferrero, Italy",Bakery Products,Italy,30.0,20.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake, soft wheat flour, orange cream-filled, coated with chocolate, Fiesta",60,"Ferrero, Italy",Bakery Products,Italy,30.0,18.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake, soft wheat flour, with almond and chocolate pieces (Brioche Cereali e Cioccolato, Grancereale)",66,"Barilla, Italy",Bakery Products,Italy,30.0,20.0,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal
"Sponge cake, wheat flour, rolled barley and oat (2.5%), filled with apricot jam (Brioss Albicocca ecereali)",60,Ferrero Italy,Bakery Products,Italy,30.0,18.0,"Cossu, M., et al., A nutritional evaluation of various typical Italian breakfast products: a comparison of macronutrient composition and glycaemic index values. International Journal of Food Sciences and Nutrition, 2018. 69(6): p. 676-681.",Normal
