epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6822,1.24277,3.87372,1.42421,0.03675,0.47778,0.12327,0.09491,0.79119,3.85946,1.13562,0.00018564,0.00018564,0.00018564
2,55.2297,1.07014,3.68365,1.33524,0.038,0.78294,0.18121,0.14493,0.7727,3.72278,1.07138,0.000340956,0.000340956,0.000340956
3,85.0312,1.03451,3.59619,1.28185,0.0287,0.87937,0.27154,0.2188,0.79681,3.57601,1.0549,0.000458102,0.000458102,0.000458102
4,109.94,1.03628,3.49879,1.24381,0.0287,0.87937,0.27154,0.2188,0.79681,3.57601,1.0549,0.000501942,0.000501942,0.000501942
5,139.029,1.00495,3.46071,1.22431,0.80254,0.05476,0.20078,0.15261,0.86193,3.3382,1.10303,0.000431256,0.000431256,0.000431256
6,165.161,1.00451,3.40332,1.24827,0.58941,0.12842,0.22582,0.17384,0.89827,3.17935,1.15254,0.00036057,0.00036057,0.00036057
7,193.268,0.94891,3.27904,1.16884,0.57583,0.15721,0.24536,0.18883,0.88868,3.10013,1.16663,0.000289884,0.000289884,0.000289884
8,220.852,0.97453,3.26299,1.20176,0.60766,0.17783,0.25681,0.19882,0.87091,3.03687,1.14674,0.000219198,0.000219198,0.000219198
9,246.222,0.93781,3.22006,1.19724,0.60413,0.20004,0.26795,0.2102,0.85832,2.98532,1.13,0.000148512,0.000148512,0.000148512
10,280.069,0.95366,3.18997,1.21235,0.60413,0.20004,0.26795,0.2102,0.85832,2.98532,1.13,7.7826e-05,7.7826e-05,7.7826e-05
